word,part of speech,definition
snow,noun,"Meteorology. a precipitation in the form of ice crystals, mainly of intricately branched, hexagonal form and often agglomerated into snowflakes, formed directly from the freezing of the water vapor in the air."
snub,verb,"to treat with disdain or contempt, especially by ignoring."
snuffle,verb,to draw air into the nose for the purpose of smelling something; snuff.
snuff,verb,to draw in through the nose by inhaling.
snuggle,verb,"to lie or press closely, as for comfort or from affection; nestle; cuddle."
soak,verb,to lie in and become saturated or permeated with water or some other liquid.
soap,noun,"a substance  for washing and cleansing purposes, usually made by treating a fat with an alkali, as sodium or potassium hydroxide, and consisting chiefly of the sodium or potassium salts of the acids contained in the fat."
sober,adjective,not intoxicated or drunk.
sob,verb,to weep with a convulsive catching of the breath.
socialise,verb,to make social; make fit for life in companionship with others.
socialize,verb,to make social; make fit for life in companionship with others.
social,adjective,"relating to, devoted to, or characterized by friendly companionship or relations"
society,noun,"an organized group of persons associated together for religious, benevolent, cultural, scientific, political, patriotic, or other purposes."
sock,noun,a short stocking usually reaching to the calf or just above the ankle.
soda,noun,sodium hydroxide.
sofa,noun,"a long, upholstered couch with a back and two arms or raised ends."
soften,verb,to make soft or softer.
softly,adjective,"yielding readily to touch or pressure; easily penetrated, divided, or changed in shape; not hard or stiff"
solemnly,adjective,"grave, sober, or mirthless, as a person, the face, speech, tone, or mood"
solidly,adjective,"having three dimensions (length, breadth, and thickness), as a geometrical body or figure."
solve,verb,to find the answer or explanation for; clear up; explain
somersault,noun,"an acrobatic movement, either forward or backward, in which the body rolls end over end, making a complete revolution."
sometimes,adverb,on some occasions; at times; now and then.
songs,noun,"a short metrical composition intended or adapted for singing, especially one in rhymed stanzas; a lyric; a ballad."
song,noun,"a short metrical composition intended or adapted for singing, especially one in rhymed stanzas; a lyric; a ballad."
son,noun,a male child or person in relation to his parents.
soon,adverb,"within a short period after this or that time, event, etc."
soothe,verb,"to tranquilize or calm, as a person or the feelings; relieve, comfort, or refresh"
soothsay,verb,to foretell events; predict.
sort,noun,"a particular kind, species, variety, class, or group, distinguished by a common character or nature"
sort,noun,"a particular kind, species, variety, class, or group, distinguished by a common character or nature"
sough,verb,"to make a rushing, rustling, or murmuring sound"
sound,noun,the sensation produced by stimulation of the organs of hearing by vibrations transmitted through the air or other medium.
sound,noun,the sensation produced by stimulation of the organs of hearing by vibrations transmitted through the air or other medium.
soup,noun,"a liquid food made by boiling or simmering meat, fish, or vegetables with various added ingredients."
sow,verb,"to scatter (seed) over land, earth, etc., for growth; plant."
space,noun,the unlimited or incalculably great three-dimensional realm or expanse in which all material objects are located and all events occur.
spade,noun,"a tool for digging, having an iron blade adapted for pressing into the ground with the foot and a long handle commonly with a grip or crosspiece at the top, and with the blade usually narrower and flatter than that of a shovel."
spank,verb,"to strike (a person, usually a child) with the open hand, a slipper, etc., especially on the buttocks, as in punishment."
span,noun,the distance between the tip of the thumb and the tip of the little finger when the hand is fully extended.
spare,verb,"to refrain from harming or destroying; leave uninjured; forbear to punish, hurt, or destroy"
sparkle,verb,"to issue in or as if in little sparks, as fire or light"
spark,noun,an ignited or fiery particle such as is thrown off by burning wood or produced by one hard body striking against another.
spark,noun,an ignited or fiery particle such as is thrown off by burning wood or produced by one hard body striking against another.
spasm,noun,"Pathology. a sudden, abnormal, involuntary muscular contraction, consisting of a continued muscular contraction (tonic spasm) or of a series of alternating muscular contractions and relaxations (clonic spasm)"
speak,verb,to utter words or articulate sounds with the ordinary voice; talk
specify,verb,to mention or name specifically or definitely; state in detail
speculate,verb,"to engage in thought or reflection; meditate (often followed by on, upon, or a clause)."
speedily,adjective,characterized by speed; rapid; swift; fast.
speed,noun,"rapidity in moving, going, traveling, proceeding, or performing; swiftness; celerity"
spell,verb,"to name, write, or otherwise give the letters, in order, of (a word, syllable, etc.)"
spend,verb,"to pay out, disburse, or expend; dispose of (money, wealth, resources, etc.)"
spiders,noun,"any of numerous predaceous arachnids of the order Araneae, most of which spin webs that serve as nests and as traps for prey."
spike,noun,"a naillike fastener, 3 to 12 inches (7.6 to 30.5 cm) long and proportionately thicker than a common nail, for fastening together heavy timbers or railroad track."
spill,verb,"to cause or allow to run or fall from a container, especially accidentally or wastefully"
spin,verb,"to make (yarn) by drawing out, twisting, and winding fibers"
spite,noun,"a malicious, usually petty, desire to harm, annoy, frustrate, or humiliate another person; bitter ill will; malice."
spit,verb,to eject saliva from the mouth; expectorate.
splash,verb,"to wet or soil by dashing masses or particles of water, mud, or the like; spatter"
splay,verb,"to spread out, expand, or extend."
splinter,noun,"a small, thin, sharp piece of wood, bone, or the like, split or broken off from the main body."
split,verb,to divide or separate from end to end or into layers
splutter,verb,"to talk rapidly and somewhat incoherently, as when conf, excited, or embarrassed"
spoil,verb,"to damage severely or harm (something), especially with reference to its excellence, value, usefulness, etc."
sponge,noun,"any aquatic, chiefly marine animal of the phylum Porifera, having a porous structure and usually a horny, siliceous or calcareous internal skeleton or framework, occurring in large, sessile colonies."
spoon,noun,"a utensil for use in eating, stirring, measuring, ladling, etc., consisting of a small, shallow bowl with a handle."
spot,noun,"a rounded mark or stain made by foreign matter, as mud, blood, paint, ink, etc.; a blot or speck."
spot,noun,"a rounded mark or stain made by foreign matter, as mud, blood, paint, ink, etc.; a blot or speck."
sprawl,verb,to be stretched or spread out in an unnatural or ungraceful manner
spray,noun,"water or other liquid broken up into minute droplets and blown, ejected into, or falling through the air."
spread,verb,"to draw, stretch, or open out, especially over a flat surface, as something rolled or folded (often followed by out)."
spring,verb,"to rise, leap, move, or act suddenly and swiftly, as by a sudden dart or thrust forward or outward, or being suddenly released from a coiled or constrained position"
spring,verb,"to rise, leap, move, or act suddenly and swiftly, as by a sudden dart or thrust forward or outward, or being suddenly released from a coiled or constrained position"
sprinkle,verb,"to scatter (a liquid, powder, etc.) in drops or particles"
sprint,verb,"to race or move at full speed, especially for a short distance, as in running, rowing, etc."
sprout,verb,"to begin to grow; shoot forth, as a plant from a seed."
spurn,verb,to reject with disdain; scorn.
spur,noun,"a U -shaped device that slips over and straps to the heel of a boot and has a blunt, pointed, or roweled projection at the back for use by a mounted rider to urge a horse forward."
sputter,verb,to make explosive popping or sizzling sounds.
spy,noun,"a person employed by a government to obtain secret information or intelligence about another, usually hostile, country, especially with reference to military or naval affairs."
spy,noun,"a person employed by a government to obtain secret information or intelligence about another, usually hostile, country, especially with reference to military or naval affairs."
squall,noun,"a sudden, violent gust of wind, often accompanied by rain, snow, or sleet."
square,noun,a rectangle having all four sides of equal length.
square,noun,a rectangle having all four sides of equal length.
squash,verb,to press into a flat mass or pulp; crush
squat,verb,to sit in a low or crouching position with the legs drawn up closely beneath or in front of the body; sit on one's haunches or heels.
squawk,verb,"to utter a loud, harsh cry, as a duck or other fowl when frightened."
squeak,noun,"a short, sharp, shrill cry; a sharp, high-pitched sound."
squeal,noun,"a somewhat prolonged, sharp, shrill cry, as of pain, fear, or surprise."
squeeze,verb,to press forcibly together; compress.
squint,verb,to look with the eyes partly closed.
squirm,verb,to wriggle or writhe.
squirrel,noun,"any of numerous arboreal, bushy-tailed rodents of the genus Sciurus, of the family Sciuridae."
squirt,verb,to eject liquid in a jet from a narrow orifice
squish,verb,to squeeze or squash.
stabilize,verb,"to make or hold stable, firm, or steadfast."
stab,verb,to pierce or wound with or as if with a pointed weapon
stack,noun,a more or less orderly pile or heap
stage,noun,"a single step or degree in a process; a particular phase, period, position, etc., in a process, development, or series."
stagger,verb,"to walk, move, or stand unsteadily."
stain,noun,a discoloration produced by foreign matter having penetrated into or chemically reacted with a material; a spot not easily removed.
stalk,noun,the stem or main axis of a plant.
stall,noun,a compartment in a stable or shed for the accommodation of one animal.
stammer,verb,"to speak with involuntary breaks and pauses, or with spasmodic repetitions of syllables or sounds."
stamp,verb,"to strike or beat with a forcible, downward thrust of the foot."
stamp,verb,"to strike or beat with a forcible, downward thrust of the foot."
stand,verb,(of a person) to be in an upright position on the feet.
stare,verb,"to gaze fixedly and intently, especially with the eyes wide open."
startle,verb,to disturb or agitate suddenly as by surprise or alarm.
start,verb,"to begin or set out, as on a journey or activity."
start,verb,"to begin or set out, as on a journey or activity."
star,noun,"any of the heavenly bodies, except the moon, appearing as fixed luminous points in the sky at night."
stash,verb,"to put by or away as for safekeeping or future use, usually in a secret place (usually followed by away)"
statement,noun,something stated.
state,noun,"the condition of a person or thing, as with respect to circumstances or attributes"
station,noun,a place or position in which a person or thing is normally located.
station,noun,a place or position in which a person or thing is normally located.
stay,verb,"to spend some time in a place, in a situation, with a person or group, etc."
steady,adjective,firmly placed or fixed; stable in position or equilibrium
stealthily,adjective,"done, characterized, or acting by stealth; furtive"
steal,verb,"to take (the property of another or others) without permission or right, especially secretly or by force"
steam,noun,water in the form of an invisible gas or vapor.
steel,noun,"any of various modified forms of iron, artificially produced, having a carbon content less than that of pig iron and more than that of wrought iron, and having qualities of hardness, elasticity, and strength varying according to composition and heat treatment"
steeple,noun,"an ornamental construction, usually ending in a spire, erected on a roof or tower of a church, public building, etc."
steer,verb,"to guide the course of (something in motion) by a rudder, helm, wheel, etc."
stem,noun,"the ascending axis of a plant, whether above or below ground, which ordinarily grows in an opposite direction to the root or descending axis."
step,noun,"a movement made by lifting the foot and setting it down again in a new position, accompanied by a shifting of the weight of the body in the direction of the new position, as in walking, running, or dancing."
step,noun,"a movement made by lifting the foot and setting it down again in a new position, accompanied by a shifting of the weight of the body in the direction of the new position, as in walking, running, or dancing."
sternly,adjective,"firm, strict, or uncompromising"
stew,verb,to cook (food) by simmering or slow boiling.
sticks,noun,a branch or shoot of a tree or shrub that has been cut or broken off.
stick,noun,a branch or shoot of a tree or shrub that has been cut or broken off.
stick,noun,a branch or shoot of a tree or shrub that has been cut or broken off.
stiffen,verb,to make stiff.
stifle,verb,"to quell, crush, or end by force"
still,adjective,remaining in place or at rest; motionless; stationary
stimulate,verb,"to rouse to action or effort, as by encouragement or pressure; spur on; incite"
sting,verb,"to prick or wound with a sharp-pointed, often venom-bearing organ."
stink,verb,to emit a strong offensive smell.
stipulate,verb,to make an express demand or arrangement as a condition of agreement (often followed by for).
stir,verb,"to move one's hand or an implement continuously or repeatedly through (a liquid or other substance) in order to cool, mix, agitate, dissolve, etc., any or all of the component parts"
stitch,noun,"one complete movement of a threaded needle through a fabric or material such as to leave behind it a single loop or portion of thread, as in sewing, embroidery, or the surgical closing of wounds."
stitch,noun,"one complete movement of a threaded needle through a fabric or material such as to leave behind it a single loop or portion of thread, as in sewing, embroidery, or the surgical closing of wounds."
stocking,noun,"a close-fitting covering for the foot and part of the leg, usually knitted, of wool, cotton, nylon, silk, or similar material."
stockpile,noun,"a supply of material, as a pile of gravel in road maintenance."
stock,noun,"a supply of goods kept on hand for sale to customers by a merchant, distributor, manufacturer, etc.; inventory."
stoke,verb,"to poke, stir up, and feed (a fire)."
stomach,noun,"Anatomy, Zoology. a saclike enlargement of the alimentary canal, as in humans and certain animals, forming an organ for storing, diluting, and digesting food."
stomp,verb,stamp
stone,noun,"the hard substance, formed of mineral matter, of which rocks consist."
stoop,verb,"to bend the head and shoulders, or the body generally, forward and downward from an erect position"
stop,verb,"to cease from, leave off, or discontinue"
stop,verb,"to cease from, leave off, or discontinue"
store,noun,"an establishment where merchandise is sold, usually on a retail basis."
store,noun,"an establishment where merchandise is sold, usually on a retail basis."
storm,noun,"a disturbance of the normal condition of the atmosphere, manifesting itself by winds of unusual force or direction, often accompanied by rain, snow, hail, thunder, and lightning, or flying sand or dust."
story,noun,"a narrative, either true or fictitious, in prose or verse, designed to interest, amuse, or instruct the hearer or reader; tale."
stove,noun,"a portable or fixed apparatus that furnishes heat for warmth, cooking, etc., commonly using coal, oil, gas, wood, or electricity as a source of power."
stow,verb,"Nautical. to put (sails, spars, gear, etc.) in the proper place or condition when not in use."
straddle,verb,"to walk, stand, or sit with the legs wide apart; stand or sit astride."
straighten,verb,"to make or become straight in direction, form, position, character, conduct, condition, etc. (often followed by up or out)."
strain,verb,"to draw tight or taut, especially to the utmost tension; stretch to the full"
stranger,noun,a person with whom one has had no personal acquaintance
strangle,verb,"to kill by squeezing the throat in order to compress the windpipe and prevent the intake of air, as with the hands or a tightly drawn cord."
strap,noun,"a narrow strip of flexible material, especially leather, as for fastening or holding things together."
straw,noun,"a single stalk or stem, especially of certain species of grain, chiefly wheat, rye, oats, and barley."
stray,verb,"to deviate from the direct course, leave the proper place, or go beyond the proper limits, especially without a fixed course or purpose; ramble"
streak,noun,"a long, narrow mark, smear, band of color, or the like"
streamline,noun,"a teardrop line of contour offering the least possible resistance to a current of air, water, etc."
stream,noun,"a body of water flowing in a channel or watercourse, as a river, rivulet, or brook.Synonyms"
street,noun,"a public thoroughfare, usually paved, in a village, town, or city, including the sidewalk or sidewalks."
strengthen,verb,to make stronger; give strength to.
stress,noun,importance attached to a thing
stretch,verb,"to draw out or extend (oneself, a body, limbs, wings, etc.) to the full length or extent (often followed by out)"
stretch,verb,"to draw out or extend (oneself, a body, limbs, wings, etc.) to the full length or extent (often followed by out)"
strictly,adverb,in a strict manner; rigorously; stringently
stride,verb,"to walk with long steps, as with vigor, haste, impatience, or arrogance."
strike,verb,"to deal a blow or stroke to (a person or thing), as with the fist, a weapon, or a hammer; hit."
string,noun,a slender cord or thick thread  for binding or tying; line.
string,noun,a slender cord or thick thread  for binding or tying; line.
strip,verb,to deprive of covering
strive,verb,to exert oneself vigorously; try hard
stroke,noun,"the act or an instance of striking, as with the fist, a weapon, or a hammer; a blow."
stroll,verb,to walk leisurely as inclination directs; ramble; saunter; take a walk
structure,noun,"mode of building, construction, or organization; arrangement of parts, elements, or constituents"
structure,noun,"mode of building, construction, or organization; arrangement of parts, elements, or constituents"
struggle,verb,to contend with an adversary or opposing force.
strum,verb,to play on (a stringed musical instrument) by running the fingers lightly across the strings.
strut,verb,"to walk with a vain, pompous bearing, as with head erect and chest thrown out, as if expecting to impress observers."
study,noun,"application of the mind to the acquisition of knowledge, as by reading, investigation, or reflection"
stuff,noun,the material of which anything is made
stumble,verb,"to strike the foot against something, as in walking or running, so as to stagger or fall; trip."
stump,noun,the lower end of a tree or plant left after the main part falls or is cut off; a standing tree trunk from which the upper part and branches have been removed.
stutter,verb,"to speak in such a way that the rhythm is interrupted by repetitions, blocks or spasms, or prolongations of sounds or syllables, sometimes accompanied by contortions of the face and body."
style,noun,"a particular kind, sort, or type, as with reference to form, appearance, or character"
subdue,verb,to conquer and bring into subjection
sublet,verb,to sublease.
submerge,verb,to put or sink below the surface of water or any other enveloping medium.
submerse,verb,to submerge.
submit,verb,to give over or yield to the power or authority of another (often  reflexively).
subside,verb,to sink to a low or lower level.
substance,noun,that of which a thing consists; physical matter or material
subtract,verb,"to withdraw or take away, as a part from a whole."
succeed,verb,to happen or terminate according to desire; turn out successfully; have the desired result
successfully,adjective,achieving or having achieved success.
succumb,verb,to give way to superior force; yield
suck,verb,to draw into the mouth by producing a partial vacuum by action of the lips and tongue
suddenly,adjective,"happening, coming, made, or done quickly, without warning, or unexpectedly"
suffer,verb,to undergo or feel pain or distress
sugar,noun,"a sweet, crystalline substance, C 1 2 H 2 2 O 1 1 , obtained chiefly from the juice of the sugarcane and the sugar beet, and present in sorghum, maple sap, etc."
suggestion,noun,the act of suggesting.
suggest,verb,"to mention or introduce (an idea, proposition, plan, etc.) for consideration or possible action"
suit,noun,"a set of clothing, armor, or the like, intended for wear together."
suit,noun,"a set of clothing, armor, or the like, intended for wear together."
sulk,verb,"to remain silent or hold oneself aloof in a sullen, ill-humored, or offended mood"
summarise,verb,to make a summary of; state or express in a concise form.
summarize,verb,to make a summary of; state or express in a concise form.
summer,noun,"the season between spring and autumn, in the Northern Hemisphere from the summer solstice to the autumnal equinox, and in the Southern Hemisphere from the winter solstice to the vernal equinox."
summon,verb,to call upon to do something specified.
sunder,verb,to separate; part; divide; sever.
sun,noun,"(often initial capital letter) the star that is the central body of the solar system, around which the planets revolve and from which they receive light and heat"
supervise,verb,"to oversee (a process, work, workers, etc.) during execution or performance; superintend; have the oversight and direction of."
supplement,noun,"something added to complete a thing, supply a deficiency, or reinforce or extend a whole."
supply,verb,"to furnish or provide (a person, establishment, place, etc.) with what is lacking or requisite"
support,verb,"to bear or hold up (a load, mass, structure, part, etc.); serve as a foundation for."
support,verb,"to bear or hold up (a load, mass, structure, part, etc.); serve as a foundation for."
suppose,verb,"to assume (something), as for the sake of argument or as part of a proposition or theory"
surge,noun,"a strong, wavelike, forward movement, rush, or sweep"
surmise,verb,to think or infer without certain or strong evidence; conjecture; guess.
surprise,verb,"to strike or occur to with a sudden feeling of wonder or astonishment, as through unexpectedness"
surprise,verb,"to strike or occur to with a sudden feeling of wonder or astonishment, as through unexpectedness"
surprisingly,adjective,"causing surprise, wonder, or astonishment."
surrender,verb,to yield (something) to the possession or power of another; deliver up possession of on demand or under duress
surround,verb,to enclose on all sides; encompass
survey,verb,"to take a general or comprehensive view of or appraise, as a situation, area of study, etc."
suspect,verb,"to believe to be guilty, false, counterfeit, undesirable, defective, bad, etc., with little or no proof"
suspend,verb,to hang by attachment to something above
suspiciously,adjective,tending to cause or excite suspicion; questionable
susurrate,verb,(intransitive) (literary) to make a soft rustling sound; whisper; murmur
swab,noun,"a large mop  on shipboard for cleaning decks, living quarters, etc."
swagger,verb,to walk or strut with a defiant or insolent air.
swallow,verb,"to take into the stomach by drawing through the throat and esophagus with a voluntary muscular action, as food, drink, or other substances."
swat,verb,to hit; slap; smack.
sway,verb,"to move or swing to and fro, as something fixed at one end or resting on a support."
swear,verb,"to make a solemn declaration or affirmation by some sacred being or object, as a deity or the Bible."
sweater,noun,"a knitted jacket or jersey, in pullover or cardigan style, with or without sleeves."
sweat,verb,"to perspire, especially freely or profusely."
sweep,verb,"to move or remove (dust, dirt, etc.) with or as if with a broom, brush, or the like."
sweetly,adjective,"having the taste or flavor characteristic of sugar, honey, etc."
swell,verb,"to grow in bulk, as by the absorption of moisture or the processes of growth."
swerve,verb,to turn aside abruptly in movement or direction; deviate suddenly from the straight or direct course.
swiftly,adjective,moving or capable of moving with great speed or velocity; fleet; rapid
swill,noun,"liquid or partly liquid food for animals, especially kitchen refuse given to swine; hogwash."
swim,verb,"to move in water by movements of the limbs, fins, tail, etc."
swim,verb,"to move in water by movements of the limbs, fins, tail, etc."
swing,verb,"to cause to move to and fro, sway, or oscillate, as something suspended from above"
swing,verb,"to cause to move to and fro, sway, or oscillate, as something suspended from above"
swipe,noun,"a strong, sweeping blow, as with a cricket bat or golf club."
swirl,verb,to move around or along with a whirling motion; whirl; eddy.
swish,verb,"to move with or make a sibilant sound, as a slender rod cutting sharply through the air or as small waves washing on the shore."
switch,noun,"a slender, flexible shoot, rod, etc.,  especially in whipping or disciplining."
swivel,noun,"a fastening device that allows the thing fastened to turn around freely upon it, especially to turn in a full circle."
swoon,verb,to faint; lose consciousness.
symbolize,verb,to be a symbol of; stand for or represent in the manner of a symbol.
sympathetically,adjective,"characterized by, proceeding from, exhibiting, or feeling sympathy; sympathizing; compassionate"
sympathise,verb,to be in sympathy or agreement of feeling; share in a feeling (often followed by with).
sympathize,verb,to be in sympathy or agreement of feeling; share in a feeling (often followed by with).
systemize,verb,systematize.
system,noun,an assemblage or combination of things or parts forming a complex or unitary whole
table,noun,"an article of furniture consisting of a flat, slablike top supported on one or more legs or other supports"
tabulate,verb,"to put or arrange in a tabular, systematic, or condensed form; formulate tabularly."
tackle,noun,"equipment, apparatus, or gear, especially for fishing"
tailor,noun,"a person whose occupation is the making, mending, or altering of clothes, especially suits, coats, and other outer garments."
tail,noun,"the hindmost part of an animal, especially that forming a distinct, flexible appendage to the trunk."
take,verb,to get into one's hold or possession by voluntary action
talk,verb,"to communicate or exchange ideas, information, etc., by speaking"
talk,verb,"to communicate or exchange ideas, information, etc., by speaking"
tally,noun,"an account or reckoning; a record of debit and credit, of the score of a game, or the like."
tame,adjective,changed from the wild or savage state; domesticated
tangle,verb,"to bring together into a mass of confly interlaced or intertwisted threads, strands, or other like parts; snarl."
tank,noun,"a large receptacle, container, or structure for holding a liquid or gas"
tantalize,verb,"to torment with, or as if with, the sight of something desired but out of reach; tease by arousing expectations that are repeatedly disappointed."
tap,verb,"to strike with a light but audible blow or blows; hit with repeated, slight blows"
target,noun,"an object, usually marked with concentric circles, to be aimed at in shooting practice or contests."
task,noun,"a definite piece of work assigned to, falling to, or expected of a person; duty."
taste,verb,to try or test the flavor or quality of (something) by taking some into the mouth
taste,verb,to try or test the flavor or quality of (something) by taking some into the mouth
tattle,verb,to let out secrets.
tattoo,noun,"a signal on a drum, bugle, or trumpet at night, for soldiers or sailors to go to their quarters."
taunt,verb,"to reproach in a sarcastic, insulting, or jeering manner; mock."
tax,noun,"a sum of money demanded by a government for its support or for specific facilities or services, levied upon incomes, property, sales, etc."
teaching,noun,the act or profession of a person who teaches.
teach,verb,to impart knowledge of or skill in; give instruction in
team,noun,a number of persons forming one of the sides in a game or contest
tear,noun,"a drop of the saline, watery fluid continually secreted by the lacrimal glands between the surface of the eye and the eyelid, serving to moisten and lubricate these parts and keep them clear of foreign particles.Synonyms"
tease,verb,"to irritate or provoke with persistent petty distractions, trifling raillery, or other annoyance, often in sport."
teeter,verb,to move unsteadily.
teeth,noun,plural of tooth.
telephone,noun,"an apparatus, system, or process for transmission of sound or speech to a distant point, especially by an electric device."
tell,verb,"to give an account or narrative of; narrate; relate (a story, tale, etc.)"
temper,noun,a particular state of mind or feelings.
temper,noun,a particular state of mind or feelings.
tempt,verb,"to entice or allure to do something often regarded as unwise, wrong, or immoral."
tendency,noun,"a natural or prevailing disposition to move, proceed, or act in some direction or toward some point, end, or result"
tenderly,adjective,soft or delicate in substance; not hard or tough
tend,verb,"to be disposed or inclined in action, operation, or effect to do something"
tensely,adjective,"stretched tight, as a cord, fiber, etc.; drawn taut; rigid."
tense,adjective,"stretched tight, as a cord, fiber, etc.; drawn taut; rigid."
tent,noun,"a portable shelter of skins, canvas, plastic, or the like, supported by one or more poles or a frame and often secured by ropes fastened to pegs in the ground."
terribly,adverb,in a terrible manner.
terrify,verb,to fill with terror or alarm; make greatly afraid.
territory,noun,any tract of land; region or district.
testify,verb,to bear witness; give or afford evidence.
test,noun,"the means by which the presence, quality, or genuineness of anything is determined; a means of trial."
test,noun,"the means by which the presence, quality, or genuineness of anything is determined; a means of trial."
texture,noun,the visual and especially tactile quality of a surface
thankfully,adjective,feeling or expressing gratitude; appreciative.
thank,verb,"to express gratitude, appreciation, or acknowledgment to"
thaw,verb,to pass or change from a frozen to a liquid or semiliquid state; melt.
theorise,verb,to form a theory or theories.
theorize,verb,to form a theory or theories.
theory,noun,"a coherent group of tested general propositions, commonly regarded as correct, that can be  as principles of explanation and prediction for a class of phenomena"
things,noun,a material object without life or consciousness; an inanimate object.
thing,noun,a material object without life or consciousness; an inanimate object.
think,verb,"to have a conscious mind, to some extent of reasoning, remembering experiences, making rational decisions, etc."
thoroughly,adverb,in a thorough manner or degree; completely and carefully
thoughtfully,adjective,showing consideration for others; considerate.
thought,noun,the product of mental activity; that which one thinks
thrash,verb,to beat soundly in punishment; flog.
thread,noun,"a fine cord of flax, cotton, or other fibrous material spun out to considerable length, especially when composed of two or more filaments twisted together."
thread,noun,"a fine cord of flax, cotton, or other fibrous material spun out to considerable length, especially when composed of two or more filaments twisted together."
threaten,verb,to utter a threat against; menace
thrill,verb,"to affect with a sudden wave of keen emotion or excitement, as to produce a tremor or tingling sensation through the body."
thrive,verb,to prosper; be fortunate or successful.
throat,noun,"the passage from the mouth to the stomach or to the lungs, including the pharynx, esophagus, larynx, and trachea."
throne,noun,"the chair or seat occupied by a sovereign, bishop, or other exalted personage on ceremonial occasions, usually raised on a dais and covered with a canopy."
throttle,noun,"Also called throttle lever. a lever, pedal, handle, etc., for controlling or manipulating a throttle valve."
throw,verb,"to propel or cast in any way, especially to project or propel from the hand by a sudden forward motion or straightening of the arm and wrist"
thrust,verb,to push forcibly; shove; put or drive with force
thumb,noun,"the short, thick, inner digit of the human hand, next to the forefinger."
thumb,noun,"the short, thick, inner digit of the human hand, next to the forefinger."
thump,noun,"a blow with something thick and heavy, producing a dull sound; a heavy knock."
thunder,noun,"a loud, explosive, resounding noise produced by the explosive expansion of air heated by a lightning discharge."
thunder,noun,"a loud, explosive, resounding noise produced by the explosive expansion of air heated by a lightning discharge."
thwack,verb,to strike or beat vigorously with something flat; whack.
ticket,noun,"a slip, usually of paper or cardboard, serving as evidence that the holder has paid a fare or admission or is entitled to some service, right, or the like"
tickle,verb,"to touch or stroke lightly with the fingers, a feather, etc., so as to excite a tingling or itching sensation in; titillate."
tick,noun,"a slight, sharp, recurring click, tap, or beat, as of a clock."
tidy,adjective,"neat, orderly, or trim, as in appearance or dress"
tie,verb,"to bind, fasten, or attach with a cord, string, or the like, drawn together and knotted"
tiger,noun,"a large, carnivorous, tawny-colored and black-striped feline, Panthera tigris, of Asia, ranging in several subspecies from India and the Malay Peninsula to Siberia"
tighten,verb,to make or become tight or tighter.
tightly,adjective,firmly or closely fixed in place; not easily moved; secure
tilt,verb,"to cause to lean, incline, slope, or slant."
time,noun,"the system of those sequential relations that any event has to any other, as past, present, or future; indefinite and continuous duration regarded as that in which events succeed one another."
time,noun,"the system of those sequential relations that any event has to any other, as past, present, or future; indefinite and continuous duration regarded as that in which events succeed one another."
tingle,verb,"to have a sensation of slight prickles, stings, or tremors, as from cold, a sharp blow, excitement, etc."
tinker,noun,"a mender of pots, kettles, pans, etc., usually an itinerant."
tinkle,verb,"to give forth or make a succession of short, light, ringing sounds, as a small bell."
tin,noun,"Chemistry. a low-melting, malleable, ductile metallic element nearly approaching silver in color and luster"
tiptoe,noun,the tip or end of a toe.
tip,noun,"a slender or pointed end or extremity, especially of anything long or tapered"
tire,verb,"to reduce or exhaust the strength of, as by exertion; make weary; fatigue"
title,noun,"the distinguishing name of a book, poem, picture, piece of music, or the like."
titter,verb,"to laugh in a restrained, self-conscious, or affected way, as from nervousness or in ill-suppressed amusement."
toad,noun,"any of various tailless amphibians that are close relatives of the frogs in the order Anura and that typically have dry, warty skin and are terrestrial or semiterrestrial in habit."
toast,noun,sliced bread that has been browned by dry heat.
toddle,verb,"to move with short, unsteady steps, as a young child."
toes,noun,one of the terminal digits of the human foot.
toe,noun,one of the terminal digits of the human foot.
toe,noun,one of the terminal digits of the human foot.
toil,noun,hard and continuous work; exhausting labor or effort.
tolerate,verb,"to allow the existence, presence, practice, or act of without prohibition or hindrance; permit."
tomatoes,noun,"any of several plants belonging to the genus Lycopersicon, of the nightshade family, native to Mexico and Central and South America, especially the widely cultivated species L. lycopersicum, bearing a mildly acid, pulpy, usually red fruit eaten raw or cooked as a vegetable."
tomorrow,noun,the day following today
tongue,noun,"Anatomy. the usually movable organ in the floor of the mouth in humans and most vertebrates, functioning in eating, in tasting, and, in humans, in speaking."
toothbrush,noun,"a small brush with a long handle, for cleaning the teeth."
toothpaste,noun,a dentifrice in the form of paste.
tooth,noun,"(in most vertebrates) one of the hard bodies or processes usually attached in a row to each jaw, serving for the prehension and mastication of food, as weapons of attack or defense, etc., and in mammals typically composed chiefly of dentin surrounding a sensitive pulp and covered on the crown with enamel."
toot,verb,(of a horn or whistle) to give forth its characteristic sound.
too,adverb,in addition; also; furthermore; moreover
topple,verb,"to fall forward, as from having too heavy a top; pitch; tumble down."
top,noun,the highest or loftiest point or part of anything; apex; summit.Synonyms
toss,verb,"to throw, pitch, or fling, especially to throw lightly or carelessly"
tote,verb,"to carry, as on one's back or in one's arms"
totter,verb,"to walk or go with faltering steps, as if from extreme weakness."
touch,verb,"to put the hand, finger, etc., on or into contact with (something) to feel it"
touch,verb,"to put the hand, finger, etc., on or into contact with (something) to feel it"
toughen,verb,to make or become tough or tougher.
tour,noun,a traveling around from place to place.
tousle,verb,to disorder or dishevel
